disease,symptom
scabies,area armpit blister breast bump burrow buttock elbow feet finger genit hand inner insid irregular itch knee male night palm scalp sever skin sole thin tini track usual waist wors wrist
cholecystitis,abdomen center fever nausea pain right sever shoulder spread tender touch upper vomit
sprains,abil affect bruis feel hear injuri joint limit pain pop swell time
polycythemia vera,abdomen arm bath big bleed bloat breath burn difficulti eat enlarg especi feel feet full gum hand itchi joint left leg lie noseble numb pain short shower soon spleen swell tingl toe unusu upper warm weak
hidradenitis suppurativa,anal appear area armpit barrel blackhead breast bump buttock common condit connect contain doubl featur follicl form gland groin hair heal inner later leak lump month occur odor oil pain pair pattern pea persist pit pus rub singl size skin slowli small start sweat thigh time tract tunnel usual week wound
autonomic neuropathy,abdomin abil abnorm achiev activ adjust affect appetit bite bladder bloat blood bodi caus chang complet constip dark diarrhea difficult difficulti digest dizzi drive drop dryness dysfunct ejacul erect erectil exercis faint feel food function get heart heartburn hypoglycemia inabl includ incontin infect instead intoler lead level libido light littl loss low maintain make men nausea night occur orgasm pressur problem pupil rate reach reaction recogn regul see sens sexual shaki signal sluggish stand start stay sudden sugar swallow sweat temperatur tract urin urinari vagin vomit warn women
ectropion,burn caus constant cornea drainag dri dryness ectropion excess eye eyelid feel flow gritti irrit light make pool proper red sandi sensat sensit stagnant surfac tear wateri white
nasal polyps,absent decreas drip face facial forehead frequent headach loss nose noseble pain persist postnas pressur runni sens smell snore stuffi tast teeth upper
lipoma,abdomen arm blood centimet common contain diamet doughi easili finger general grow inch lipoma nearbi neck nerv occur pain press pressur shoulder situat skin slight small soft thigh touch typic vessel
amenorrhea,acn chang discharg excess facial hair headach loss milki nippl pain pelvic vision
meniere's disease,affect aural buzz caus come diseas ear earli episod eventu feel full hear hiss hour loss menier minut nausea occur particular peopl percept perman pressur recur ring roar sensat sever sound spin spontan start stop tinnitus usual vertigo warn whistl
sudden cardiac arrest,beat breath chest collaps conscious discomfort fast flutter heart loss palpit pound puls short sudden weak
dilated cardiomyopathy,abdomen abil activ ankl ascit beat breath buildup chest dyspnea edema exercis extra fatigu feet fluid heard heart leg lie murmur pain reduc short sound swell unusu
diverticulitis,abdomen abdomin asian common constant constip day descent diarrhea especi fever left lower nausea pain peopl persist right site tender usual vomit
pelvic inflammatory disease (pid),abdomen abnorm bleed chill cycl difficult discharg especi fever frequent heavi intercours lower menstrual mild odor pain pelvi rang sever unpleas urin uterin vagin
atopic dermatitis (eczema),ankl bend brownish bump chest crack crust dri elbow especi eyelid face feet fluid gray hand infant insid itch knee leak neck night patch rais raw red scali scalp scratch sensit sever skin small swollen thicken upper wrist
uterine prolapse,ball bowel concern fall feel have heavi incontin leakag loos movement pelvi problem protrud pull retent sensat sexual sit small tissu tone troubl urin urinari vagin vagina
tonsillitis,bad breath coat difficult drool eat enlarg fever fussi gland headach lymph muffl neck node pain patch red refus scratchi sore stiff stomachach swallow swollen tender throat throati tonsil unusu voic white yellow
hepatitis b,abdomin appetit dark eye fatigu fever jaundic joint loss nausea pain skin urin vomit weak white yellow
listeria infection,ach alert balanc chang chill confus convuls diarrhea fever headach loss muscl nausea neck stiff
chronic cough,blood breath case clear cough drip feel frequent heartburn hoars liquid mouth nose postnas rare run runni short sore sour stuffi tast throat wheez
sinus headaches,achi bend brow cheek fatigu feel forehead forward full lie nose pain pressur stuffi teeth upper worsen
seizures,anxieti arm awar cognit confus conscious deja emot fear jerk leg loss movement spell stare symptom temporari uncontrol
h1n1 flu (swine flu),ach bodi chill cough diarrhea eye fatigu fever headach nausea nose red runni sore stuffi throat vomit wateri
multisystem inflammatory syndrome in children (mis-c) and covid-19,breath diarrhea dizzi enlarg eye fast feel feet fever hand headach heartbeat hour last lightheaded lip longer lymph node pain rapid rash red skin stomach swell tire tongu unusu vomit
alcoholic hepatitis,abdomen abdomin accumul appetit ascit behavior broken buildup chang confus elimin failur fatigu fever fluid grade kidney liver loss low nausea normal tender toxin vomit weak
microcephaly,age children head sex signific size smaller
ruptured spleen,abdomen confus dizzi left lightheaded pain shoulder tender touch upper
eosinophilic esophagitis,abdomin antacid backflow central chest children difficulti dysphagia eat esophagus failur feed food gerd get growth impact infant locat loss malnutrit medic pain poor regurgit respond respons stuck swallow thrive undigest vomit weight
occupational asthma,asthma away breath caus chest congest continu cough expos exposur eye induc irrit last like long longer nasal night nose occur period perman progress recur regular return runni short soon start stop substanc symptom tear tight vacat weekend wheez work workweek wors
dislocated elbow,distort extrem joint obvious pain
diabetic nephropathy,ankl appetit blood breath concentr confus control diabet difficulti eye fatigu feet hand increas insulin itch loss medicin nausea need persist pressur protein reduc short swell urin vomit worsen
lazy eye (amblyopia),abnorm appear depth eye head inward outward percept poor result screen shut squint test tilt vision wander work
bedbugs,arm arrang cluster darker face hand itchi line locat middl neck red rough spot
influenza (flu),ach adult breath children chill common cough diarrhea dri eye fever headach muscl nose pain persist runni short sore stuffi sweat throat tired vomit weak
retinal diseases,blur cobweb defect distort float line look lost see speck straight vision wavi
neuroblastoma,abdomin bone bowel bruis chang chest circl constip dark diarrhea droop eye eyebal eyelid fever habit includ loss lump mass pain proptosi protrud pupil similar size skin socket tender tissu touch unequ unexplain weight wheez
broken arm,arm bent bruis deform inabl increas movement pain palm sever swell turn versa vice wrist
cyclic vomiting syndrome,abdomin diarrhea dizzi episod gag general headach health intens interv length light nausea normal pain recurr retch sensit similar start sweat time vari vomit
dysarthria,abnorm difficult difficulti facial inabl loud louder monoton move muscl nasal rapid raspi rhythm slow slur speak speech strain tongu understand uneven voic volum whisper
triple x syndrome,abnorm adhd anxieti attent autism behavior breastbon corner cover curv deficit delay depress develop development difficulti disabl disord dyslexia epicanth eye failur feet fine finger flat fold gross hyperact hypotonia inform inner judgment kidney languag learn math memori motor muscl ovari ovarian pinki prematur problem process psycholog read seizur shape sit skill skin space spectrum speech symptom tone understand vertic walk weak wide
sunburn,blister break chang eye fatigu feel fever fill fluid gritti headach hot nausea pain pink red sever skin small sunburn swell tender tone touch warm
hypothermia,breath bright clumsi cold confus conscious coordin drowsi energi infant lack loss low memori mumbl puls red shallow shiver skin slow slur speech weak
colon cancer,abdomin bleed blood bowel chang complet consist constip cramp diarrhea discomfort fatigu feel gas habit includ loss pain persist rectal stool unexplain weak weight
broken ankle,bear bruis deform difficulti immedi pain swell tender throb walk weight
ehlers-danlos syndrome,abl allow away close common connect crink damag disloc exampl except far feel flesh flexibl fragil gape heal hold joint leav let look looser motion normal over pain past pinch place pull rang right scar skin snap soft stitch stretch stretchi tear thin tissu usual velveti weaken wound
scoliosis,appear blade higher hip promin shoulder uneven waist
aortic dissection,abdomin arm bodi breath chest compar conscious describ difficulti leg loss neck pain paralysi puls radiat rip sensat sever shear short similar speak stroke sudden tear thigh upper vision walk weak
graves' disease,anxieti bowel bulg chang cycl dermopathi despit disturb dysfunct eat enlarg erectil eye fatigu feet fine finger frequent gland goiter grave habit hand heartbeat heat increas irregular irrit libido loss menstrual moist movement normal ophthalmopathi palpit perspir rapid red reduc sensit shin skin sleep thick thyroid top tremor usual warm weight
thoracic outlet syndrome,ach activ affect area arm arteri base believ blood bluish bodi brachial call caus character chronic clavicl clot cold collarbon color come common compress control cord determin discolor disord disput doctor entir exist fatigu finger fleshi gilliatt grip hand lack lump movement muscl near neck nerv network neurogen neurolog nonspecif numb occur outlet pain pallor peopl plexus possibl puls sensat shoulder specif spinal sumner swell syndrom thorac throb thumb tingl type upper vascular vein venous wast weak weaken worsen
broken hand,bruis crook deform finger grip hand inabl move numb obvious pain sever squeez stiff swell tender thumb worsen
liver cancer,abdomin appetit chalki discolor eye fatigu general jaundic lose loss nausea pain skin stool swell tri upper vomit weak weight white yellow
schizoaffective disorder,academ appear behavior belief bizarr care charact cleanli communic contrari day decreas delus depress despit energi evid fals feel fix function hallucin have hear impair includ incoher increas manag manic mood need occup period person physic problem sad see sleep social speech symptom thing unusu voic worthless
incompetent cervix,abdomin backach bleed chang cramp discharg light mild new pelvic pressur sensat vagin
attention-deficit/hyperactivity disorder (adhd) in children,combin fall hyperact impuls inattent major mix predomin symptom
salivary gland tumors,area difficulti face gland jaw lump mouth muscl near neck numb open pain persist salivari swallow swell troubl weak wide
endocarditis,abdomen abl ach blood breath cage call chang chest chill doctor eye fatigu feet fever fight finger flu hand heart infect insid janeway joint kee left leg lesion like locat loss microscop mouth murmur muscl new night node organ osler pain palm petechia puh purpl red rib rush short skin sole sound spleen spot sweat swell symptom tee tender tini toe unexplain urin view weight white
tendinitis,ach affect describ dull especi joint limb mild move pain swell tender
endometrial cancer,bleed menopaus pain pelvic period vagin
mitral valve regurgitation,abnorm activ ankl breath dyspnea especi fatigu feet flutter heard heart heartbeat lie murmur palpit rapid sensat short sound stethoscop swollen
amyloidosis,ankl bed blood breath bruis carpal chang constip diarrhea difficulti easi edg enlarg especi exert eye fatigu feet flat hand heartbeat irregular kilogram leg lie look loss minim numb pain patch possibl pound purplish rippl sever short skin swallow swell syndrom thicken tingl tongu tunnel unabl unintent weak weight wrist
severe acute respiratory syndrome (sars),breath cough dri fever higher short
frozen shoulder,begin caus difficult diminish freez frozen improv limit motion movement pain rang shoulder stage start stiffer thaw
progressive supranuclear palsy,activ aim anxieti appear awkward backward balanc behavior blur contact convers cri decis depress difficulti diseas disinterest disturb doubl downward earli experi express eye facial fall focus food frighten impuls inabl includ interest laugh light look loss make memori movement muscl occur particular peopl pleasur poor possibl problem proper reason result rigid sensit sleep solv speech spill stiff surpris swallow tendenc vision walk
phenylketonuria (pku),abnorm behavior blue bodi breath caus delay develop disabl disord eczema emot eye fair hair head hyperact includ intellectu melanin microcephali musti neurolog odor phenylalanin pigment problem psychiatr rash respons seizur skin small social tone transform urin
nasopharyngeal carcinoma,blood bloodi caus congest discharg ear frequent headach hear infect loss lump lymph nasal neck node nose ring saliva sore swollen throat
pubic lice (crabs),armpit beard chest children common eyebrow eyelash leg mustach
prostatitis,abdomen area bacteri blood burn cloudi difficulti discomfort dribbl dysuria ejacul flu frequent groin hesit like lower need night nocturia pain particular peni perineum prostat rectum scrotum sensat sign symptom testicl urgent urin
bunions,base big bulg bump callus come corn develop goe joint limit movement ongo outsid pain red rub second sore swell toe
ice cream headaches,away begin forehead goe last longer minut pain peak rare second sharp stab time
encopresis,abdomin appetit avoid bedwet bladder bowel clog constip daytim diarrhea dri enuresi girl hard infect lack larg leakag liquid long mistaken movement pain passag period problem repeat stool time toilet typic underwear wet
cataracts,activ blur brighter chang cloud color contact difficulti dim doubl eye eyeglass fade frequent glare halo increas len light need night prescript read see sensit singl vision yellow
hypoplastic left heart syndrome,abnorm blue breath clammi cold color cool cyanosi difficult drowsi eye feed feet gray grayish hand inact lacklust pale poor puls rapid shallow skin slow stare unusu weak
dystonia,action activ age anxieti area arm backward begin blepharospasm blink box bright caus cervic chew close combin contract cord difficult difficulti dri drool dystonia experi eye eyelid face fatigu feel focal forearm forward hand handwrit head increas instrument interact involuntari jaw leg light music musician neck notic occur oromandibular pain peopl play pull rapid remain repetit segment singl slur spasm spasmod specif speech start stress swallow tend tight time tongu turn twist type usual vocal voic whisper worsen write writer
hangovers,abil ach anxieti concentr decreas depress disturb dizzi dri excess fatigu headach heartbeat increas irrit light mood mouth muscl nausea pain poor rapid room sens sensit shaki sleep sound spin stomach thirst vomit weak
placental abruption,abdomin bleed come contract pain right rigid tender uterin vagin
angina,breath dizzi fatigu nausea short sweat
heart palpitations,beat fast flip flop flutter pound rapid skip
giant cell arteritis,area chew doubl eye fatigu fever head jaw loss mouth open pain particular peopl perman persist scalp sever sudden templ tender unintend usual vision weight wide
peyronie's disease,appear associ band begin bend blood build call caus curv deform differ diseas downward dysfunct erect erectil felt flat get hard hourglass indent like lump maintain men narrow pain peni penil peyroni plaqu problem report result scar shaft shorten shorter signific skin symptom tight tissu upward vessel
autoimmune hepatitis,abdomin abnorm angioma blood discomfort enlarg eye fatigu jaundic joint liver loss menstrual pain period rash skin spider vessel white yellow
genital warts,area bleed brown cauliflow caus close color discomfort flesh genit intercours itch like pink shape small swell wart
parkinson's disease,abil appear arm automat balanc begin blink bodi bradykinesia chair chang consum decreas difficult diseas drag feet finger forefing forth hand hard hesit impair includ inflect known limb limit loss make monoton motion movement muscl occur pain parkinson perform pill postur problem quick rang rest result rigid roll rub shake shorter simpl slow slur small smile soft speak speech step stiff stoop swing talk task thumb time trembl tremor tri unconsci usual walk write
astigmatism,blur difficulti discomfort distort eyestrain headach night squint vision
aortic valve disease,abil abnorm activ aortic breath chest children dizzi eat faint fatigu gain have heard heart heartbeat irregular lie main murmur pain particular short sound stenosi stethoscop tight valv weight
wheat allergy,anaphylaxi breath congest cramp diarrhea difficulti headach hive irrit itch itchi mouth nasal nausea rash skin swell throat vomit
copd,activ ankl breath chest chronic clear cough energi especi feet frequent greenish infect lack later leg loss mucus physic produc respiratori short sputum stage swell tight unintend weight wheez white yellow
pneumonia,adult age awar bodi breath chang chemotherapi chest children chill condit confus cough diarrhea fatigu fever health immun lower medic mental nausea normal older pain peopl phlegm produc receiv shake short sign suppress sweat symptom system take temperatur under vomit weak weaken younger
hyponatremia,coma confus cramp drowsi energi fatigu headach irrit loss muscl nausea restless seizur spasm vomit weak
endometriosis,abdomin begin bleed bloat bowel common constip cramp day diagnos diarrhea dysmenorrhea endometriosi especi excess experi extend fatigu heavi infertil intercours intermenstru like lower menstrual movement nausea occasion pain pelvic period seek sex sign symptom treatment urin
molar pregnancy,anemia bleed blood bright brown caus condit cyst dark grapelik growth high hyperthyroid larg nausea ovarian overact pain passag pelvic preeclampsia pregnanc pressur protein rapid red sever stage thyroid trimest urin uterin uterus vagin vomit week
vascular dementia,abil action agit analyz apathi attent communic concentr confus control decid declin depress develop difficulti effect frequent gait inabl memori organ pass pay plan problem reduc restless situat sudden thought troubl unsteadi urg urin
pancreatitis,abdomen abdomin eat feel fever lose nausea oili pain puls radiat rapid smelli steatorrhea stool tender touch tri upper vomit weight wors
chronic granulomatous disease,anus bloodi chest diarrhea exhal fever gastrointestin gland includ inhal irrit lymph mouth near nose pain persist pocket problem pus rash red runni skin sore stomach stool swell swollen vomit
rectal cancer,abdomin blood bowel bright chang complet constip dark diarrhea fatigu feel frequent habit loss maroon movement narrow pain red stool unexplain weak weight
primary sclerosing cholangitis,abdomen chill enlarg eye fatigu fever itch jaundic liver loss night pain right skin spleen sweat upper weight yellow
pectus excavatum,chest cough decreas dizzi exercis fatigu heart heartbeat infect murmur pain palpit rapid recurr respiratori toler wheez
guillain-barre syndrome,achi ankl bladder blood bodi bowel breath chew climb control cramplik difficulti doubl eye facial feel finger function heart high inabl includ leg low movement needl night pain pin pressur prickl rapid rate sensat sever shoot speak spread stair swallow toe unsteadi upper vision walk weak wors wrist
brain tumor,arm balanc behavior blur chang confus difficulti doubl especi everyday frequent gradual headach hear histori leg loss matter movement nausea new onset pattern peripher person problem seizur sensat sever speech unexplain vision vomit
osteochondritis dissecans,activ affect bone caught climb common complet decreas dissecan feel fragment get give hill joint limb lock loos motion movement osteochondr pain physic play pop posit rang skin sport stair stick straighten swell swollen symptom tender trigger unabl walk way weak weaken
deviated septum,allergi altern awar blockag breath call caus chang cold cycl debat deviat difficult dri facial increas indic infect intranas narrow nasal night noisi normal nose noseble nostril notic obstruct optim order pain particular passag peopl possibl prefer pressur reason respiratori risk septum sever side sleep surfac swell tissu touch tract typic upper
asthma attack,act breath chest cough expiratori fail flow inhal low meter pain peak pef quick read rescu respond sever short symptom tight use wheez
toxic hepatitis,abdomen abdomin appetit color dark eye fatigu fever itch jaundic loss nausea pain portion rash right skin tea upper urin vomit weight white yellow
orthostatic hypotension (postural hypotension),blurri confus dizzi faint lightheaded nausea stand syncop vision weak
hyperhidrosis,appar begin caus daili disrupt distress emot experi night reason routin social sudden sweat usual withdraw
spinal headaches,away blur decreas dizzi doubl dull ear get goe hear incapacit intens lie light loss mild nausea neck pain photophobia ring seizur sensit sit stand stiff throb tinnitus typic vari vision vomit wors
interstitial lung disease,aggrav breath cough dri exert rest short
acromegaly,airway bodi coars coarsen cord cycl deepen dysfunct enlarg erectil excess facial fatigu featur feet hand headach heart huski impair interest irregular joint limit loss men menstrual mobil muscl obstruct odor oili organ outgrowth pain sever sex sinus skin small snore sweat tag thicken tissu tongu upper vision vocal voic weak women
yeast infection (vaginal),appear burn chees cottag discharg especi free intercours irrit itch odor pain rash red sensat sore swell thick urin vagin vagina vulva wateri white
ocular rosacea,blephar blood blur bodi burn chalazia conjunct dilat dri eye eyelid feel foreign gritti have infect itchi light look mirror photophobia pink recurr red sensit small sti swollen vessel visibl vision water white
bacterial vaginosis,burn discharg fishi foul gray green itch odor smell thin urin vagin white
varicose veins,achi appear blue bulg burn color cord cramp dark discolor feel heavi itch leg like long lower muscl pain purpl sit skin stand swell throb time twist varicos vein worsen
balance problems,balanc blurri chang confus dizzi faint fall feel float lightheaded like loss motion presyncop sens sensat spin unsteadi vertigo vision
rheumatic fever,accompani ankl behavior beneath bodi bump chest chorea cri edg elbow face fatigu feet fever flat hand heart hot inappropri jerki joint knee laugh migrat movement murmur outburst pain painless rag rais rash red skin slight small swollen sydenham tender uncontrol unusu wrist
central sleep apnea,abnorm abrupt accompani asleep awaken breath chang chest concentr daytim difficulti episod excess exercis headach hypersomnia insomnia lower mood morn night observ pain pattern reliev short sit sleep sleepi snore stay stop toler
perimenopause,abil age arous associ avoid bad birth bladder blood bone caus chang cholesterol common conceiv continu contribut control cycl day declin decreas densiti depress desir diminish diseas disrupt earli elast estrogen factor fertil flash flow fragil frequenc function good happen have hdl heart heavi high hormon hot includ incontin increas infect intens intercours intimaci irregular irrit late ldl lead leav length level light like lipoprotein long longer lose loss low lubric make menopaus menstrual month mood night osteoporosi ovul pain perimenopaus period persist possibl pregnanc problem quick relat replac risk satisfactori seven sexual shorter skip sleep space start sweat swing symptom time tissu tone unfavor unpredict urinari use vagin vari vulner wish women
chronic sinusitis,ach bad breath caus cheek clear congest cough difficulti discharg discolor drainag ear eye fatigu forehead inflamm jaw nasal nose obstruct pain postnas reduc sens smell sore swell tast teeth tender thick throat upper
thumb arthritis,appear base boni decreas enlarg grasp joint motion object pinch rang stiff strength swell tender thumb
vulvar cancer,away bleed bump chang color itch lump menstruat open pain skin sore tender thicken ulcer wartlik
thyroid nodules,base breath caus difficulti esophagus felt heartbeat increas irregular loss neck nervous press rapid seen short swallow sweat swell tremor unexplain weight windpip
blocked tear duct,blur corner crust discharg excess eye eyelid infect inflamm insid lid mucus near pain pink pus recurr red surfac swell tear vision white
hair loss,accompani affect age alopecia bald beard begin bodi broaden broken cancer caus chemotherapi circular comb come common condit emot eyebrow fall fibros forehead frontal gentl gradual grow hair hairlin hand head increas itchi loosen lose loss medic men older ooz overal pain patch patchi pattern peopl physic reced red result ringworm scale scalp shock sign skin spot spread sudden swell temporari thin time treatment tug type typic usual wash women
iron deficiency anemia,anemia appetit breath brittl chest children cold crave defici dirt dizzi especi extrem fast fatigu feet hand headach heartbeat ice infant inflamm iron lightheaded nail non nutrit pain pale poor short skin sore starch substanc tongu unusu weak
pulmonary fibrosis,ach breath club cough dri dyspnea fatigu finger joint loss muscl round short tip toe unexplain weight widen
glioma,balanc blur brain chang confus declin difficulti doubl especi function headach histori incontin irrit loss memori nausea peripher person problem seizur speech urinari vision vomit
golfer's elbow,certain elbow extend feel felt finger fist forearm hand hurt inner littl make movement numb pain radiat ring sensat stiff tender tingl typic usual weak worsen wrist
metachromatic leukodystrophy,abil adult age alcohol begin behavior bladder blind bowel childhood children cognit common cours decad declin delus detect difficulti drug earli emot fast form function gallbladd general hallucin hear heat includ increas infantil initi intellectu issu juvenil late leukodystrophi loss memori metachromat misus motor move muscl occur pain paralysi period poor problem progress psychiatr psychot rapid rigid school second seizur sensat sign skill slowli sound speak speech stabl start stiff substanc surviv swallow symptom think touch typic unstabl vari walk work year younger
malignant peripheral nerve sheath tumors,affect area bodi grow lump pain skin tissu tri weak
posterior cruciate ligament injury,caus difficulti feel go hour injuri instabl knee limp loos mild moder occur pain rapid slight swell walk way
enlarged heart,abnorm arrhythmia breath edema heart rhythm short swell
eisenmenger syndrome,activ blood bluish breath chest club color cough cyanosi dizzi easili faint finger fingernail grayish headach heartbeat larg numb pain palpit race rest round short skin skip tight tingl tire toe toenail
scleroderma,absorb affect appear area bloat blood blue caus cold constip contract cover cramp degre depend diarrhea difficulti digest diseas distress earliest emot esophagus experi feel finger food function happen harden heart heartburn intestin kidney left life like limb line locat lung move movement muscl near numb number nutrient occur oval pain patch peopl problem proper raynaud respons restrict scleroderma shape shini sign size skin small straight swallow symptom system temperatur threaten tight tighten toe tract trunk turn type untreat vari varieti vessel wide
menorrhagia (heavy menstrual bleeding),activ anemia bleed blood breath chang clot consecut control daili doubl fatigu flow heavi hour larger longer menstrual need night pad pass protect quarter restrict sanitari short soak symptom tampon tired use wake week
fibromyalgia,abil ach anxieti apnea associ attent awaken bladder bodi bowel chronic cognit common concentr consid constant cystiti depress describ difficulti disord disrupt dull fatigu fibro fibromyalgia focus fog headach impair interstiti irrit joint last leg long mental migrain month occur pain patient pay peopl period postur refer report restless side sleep symptom syndrom tachycardia task temporomandibular time tire type waist widespread
itchy skin (pruritus),accompani affect blister bodi bowel bump care chang come crack daili distract dri easili explain extrem fever frequenc habit improv last leatheri loss measur prevent red routin scali self sever sign skin sleep spot sudden symptom tired urinari week weight
malaria,abdomin chest chill cough fatigu fever headach muscl nausea pain sweat vomit
ductal carcinoma in situ (dcis),bloodi breast discharg lump nippl
hepatitis c,abdomen angioma appetit ascit bleed blood bruis buildup color confus dark discolor drowsi easili encephalopathi eye fatigu fluid hepat itchi jaundic leg loss poor skin slur speech spider spiderlik swell urin vessel weight yellow
